,x,y,z,lat,lon,acc,MagX,MagY,MagZ,accMagnitude,magMagnitude,correctedModeOfTransport
0,-5.461632032500001,0.4243349099999999,0.5614448575,51.37969402,-0.09149793,48.0,8.48897567,0.1645914349999999,1.596156,5.5067871669684125,8.639300448685837,10
1,1.0206115175,-0.9563817625,0.5497153674999999,50.832455946,-0.1490649,8.0,-6.588019732499999,-3.893688285,-3.1659512225,1.5028309720530513,8.281670097257246,7
5,-3.152365265,-1.2774068225,6.255919555,50.927931863,0.971695627,4.0,24.57726213,27.851380135,0.131258575,7.120793806365936,37.145099515878485,9
8,-2.1893982800000003,2.1698412475,0.8285761275,51.532187781,0.021811726,12.0,16.59985984,-13.0455819075,-20.1748693525,3.191898223139675,29.202190113129873,12
10,-7.28694144,3.017848855,0.040414575,50.870421674,0.011794203,16.0,29.35021018,-8.636064014999999,6.859275565000001,7.887240366534199,31.353884935649674,0
12,0.97577881,-4.711305265,1.5998102125,50.843491407,-0.119202636,8.0,5.49747942,26.78689753,-41.0606392525,5.07029923200604,49.33291249338506,1
14,2.2506003925,2.291384685,0.30954272,50.884876832,0.025908234,8.0,-12.864225650000002,-1.9226797975,-14.3743413325,3.2266798100956193,19.385734134178424,7
16,2.2649709775,0.3215485174999999,-1.29311867,50.814767828,-0.104098834,8.0,-10.55736576,-19.3260429825,10.013505085,2.6278589902668523,24.191407425761295,15
17,2.81210656,3.7827379425,1.31532037,50.918170613,-0.002446918,6.0,-11.609164115,22.54821072,-33.213225227500004,4.893579193408553,41.78890795576225,9
24,-7.55930254,3.220500855,-0.1687521825,50.830158743,-0.132364003,4.0,32.9270441325,-10.6630028175,-4.4363983375,8.218464451915862,34.89371712212083,7
26,0.6455187525000001,1.0762833325,-2.2235870425,50.823885323,-0.146008123,8.0,17.13717859,2.4911168025,2.207442405,2.553315414753994,17.457415470814816,15
28,1.3330702625000002,-4.1423343875,0.8651673200000001,50.848534753,-0.112341643,4.0,6.8267804850000005,35.6339298625,2.72307676,4.436724579486854,36.38402171663817,1
31,0.891012705,1.177139035,0.076990635,50.823259335,-0.136288887,8.0,-8.51118514,5.61140033,12.827069625,1.4783394421004439,16.384803975497498,15
36,-2.2727709525,1.72948912,-0.8145416799999999,50.791563335,-0.002251131,6.0,-20.342291615,-9.066441705,0.997228645,2.9698650755856493,22.293578858278256,0
37,2.12322615,2.62158511,0.033084165,50.88225824333333,0.015475906,13.333333333333334,-1.6580065475,-16.2313982,9.7243627175,3.3737060237950907,18.99395965827084,7
39,-3.28875974,1.3636305050000002,0.3103105025,50.827356673,-0.167832904,8.0,2.4379218725,-18.1295134425,3.79403471,3.573754522847537,18.68200792470892,15
45,-0.5968647025,1.2479429924999998,-5.5634116075,50.833673346,-0.139602421,6.0,21.911731165000003,-10.25773917,9.9971427225,5.732814134444444,26.1780067640953,9
46,-1.1947911225,0.9031677675,0.8453856974999999,50.813112024,-0.095586636,4.0,58.9611960525,-6.793936132500001,-12.7972308575,1.7198589535753523,60.7153137662483,9
51,-7.0244534750000005,1.82023252,-1.961310555,50.872582052,0.010870783,6.0,28.4839836125,-12.29823283,1.1474002825,7.516843229871137,31.046745088436236,7
52,4.3560342475,-3.1516496675,3.7632136725,50.803814647,-0.06269807,8.0,-10.6426449725,25.98151874,-25.455824625,6.562751491328671,37.8986043989275,1
58,-3.7683185275,3.6173451125,1.388146325,51.531081406,0.004296057,16.0,34.05069638,-31.2591111575,-0.8587246325000001,5.404846011427005,46.231151427520686,12
59,-1.164222245,1.850979905,7.49081641,51.524588081,-0.012524033,8.0,56.2647017525,54.195459760000006,46.7927800375,7.80345247520557,91.06277387348474,12
63,-1.42279348,-0.9543575725,-2.7452784025,50.826985917,-0.138187747,4.0,7.503581850000001,-9.0006641875,3.581470755,3.235999562755155,12.253270141668906,1
66,-2.789351265,2.400066465,0.9960455775,51.430963616,-0.101611417,24.0,25.963804765,-15.465261667499998,-12.36838779,3.812204914276252,32.653797525603395,10
69,1.753513505,2.427690295,0.1964271925,50.96969115,0.186216378,23.324589,7.331762485,8.344562634999999,-21.14010603,3.001178672223299,23.88075689054963,9
70,3.9127075575,3.041527455,1.457920705,50.864149435,-0.105355906,16.0,-43.2259169,10.8147864675,-5.847270422499999,5.165820600069663,44.940294498113495,9
75,-4.3495775275,2.571629905,0.16259891,51.541877574,-0.011668518,6.0,26.4491155275,-10.865559195,-12.65154185,5.055545810449798,31.26783650957309,10
79,-3.53346493,1.26709913,1.5623786899999998,51.515082037,-0.2944439095,16.0,46.306556225,-34.47075257,-7.5567669175,4.065949063595458,58.22056903197246,12
83,1.46814789,1.221505495,0.0311289274999999,51.024327644,0.574576827,6.0,9.88266375,7.3798590675,-15.8866879025,1.910105471264335,20.112588474961793,9
86,4.4680658225,-1.321336295,-1.63889907,50.826238029,-0.12413055,16.0,-20.9373003575,3.9682184625,8.1972607775,4.939183329288739,22.83226638511025,8
88,2.75622232,1.0796524475,-1.0595116725,50.840171405,-0.122876533,4.0,1.5069694175,1.2223168425,-13.05543717,3.1440381468459746,13.19884294127925,9
94,6.13477782,-5.0607531325,-0.2669905449999999,50.820590651,-0.132556747,6.0,-36.545879135,7.4777179475,8.260680545,7.957261156955446,38.20675844034578,7
95,-0.84973208,1.6081809325,3.1524055275,51.622044986,-0.183139616,16.0,28.612270925,-25.9891026,-31.73890115,3.6394987469774254,50.01453136487833,12
98,0.7804127049999999,-0.2798247125,-1.31418912,50.801784333,-0.048588043,3.0,-7.00695259,-16.367542655,6.2438284875,1.5538464862969892,18.867411887778054,15
99,0.0171076199999999,0.7857178075,-0.00307494,50.791540907,-0.002238553,6.0,-23.873774535000003,13.69567586,-12.94332235,0.7859100450692019,30.414770116938428,0
101,4.254046835,-2.0158346825,0.897388535,50.826403472,-0.120091152,6.0,-12.9085459775,-0.799986715,-11.4582432925,4.79226565669025,17.27894317797038,8
105,-6.901729067500001,2.4247298775,-0.441769255,50.85722964,0.578214299,4.0,36.124197275,-10.495282735,-13.5497458925,7.32859735383783,39.98379924672025,7
110,2.8824479925000004,1.03947576,0.258868905,50.788797042,0.002055852,8.0,-8.19818246,-11.85003888,1.283969925,3.075065754593023,14.466588950864256,7
111,-7.3011528825,2.7800947125,0.12976122,50.854541176,0.584133136,3.0,22.523588055,-15.6403283625,-8.4052419675,7.813616192156126,28.680655199809923,1
112,2.5782674125,1.9252192225,2.2624493975,50.818278355,-0.115412966,8.0,-5.589487275,-5.878085235,-23.4853162025,3.9335237613736442,24.84661609070179,15
118,-6.8142602425,2.927529695,0.022642615,50.850609053,0.552521413,3.0,16.57604726,-20.6293895975,-9.1069322875,7.4165413405196485,27.987019734518086,1
121,5.17859105,-6.123259822500001,-1.883954415,50.83090266,-0.1340580315,7.0,-16.9308712825,17.2728012975,-5.8088131825,8.237803126731109,24.87461311531672,7
124,-7.6980407975,2.7933360175,0.2020714975,50.850945707,0.555680007,4.0,10.58292637,7.82034039,90.536333215,8.191665954904355,91.48761493440419,1
127,-2.374392335,1.07053724,-0.40601086,50.873575928,0.01138626,4.0,0.9694625875,4.8678854,26.907908535,2.6360261305934563,27.361865939734834,7
131,2.422919055,3.538341765,0.37049393,50.911475484,-0.006574483,16.0,9.7995407275,26.3009009575,-37.1083528625,4.30437741667622,46.527392381412994,9
132,3.9615394375,3.053256535,1.50851212,50.867935293,-0.158372237,6.0,-34.938164375,18.382072085,-10.112970445,5.224153424199457,40.753503840211074,9
133,-7.41037566,2.9931403375000003,0.0874076675,50.850335776,0.540136959,4.0,26.23946132,-24.9631440725,-11.3675677025,7.99250878026592,37.959050143794286,1
134,-2.5163223925,0.871229335,6.064361269999999,51.019204004,0.779772598,12.0,24.00562438,28.585972585,1.3759600125,6.623246677441319,37.35399706135905,9
136,0.0058086824999999,-0.081317295,-1.9641664575,50.885960605,0.039532856,8.0,6.116553602500001,-6.336123735,15.2791970375,1.9658576031916966,17.635548022906317,8
137,4.7515541125,-1.30191277,0.8369965575,50.877361914,0.01144504,16.0,-17.5485766525,1.6899677325,-4.7372510275,4.997279918312721,18.255138475593906,7
138,-2.430731085,2.4066716125,0.5872670625,51.47388614,-0.097429958,12.0,8.2287474075,-3.85786999,-9.483766665,3.4706489970459424,13.135344491574852,10
139,1.276487765,-0.5383135325,-1.3546261725,50.800550194,0.001771708,16.0,-3.6209213175,-0.2478692149999999,-1.1868239125,1.937579557254185,3.8185155930744163,15
144,4.6328360625,-1.3389668225,-1.805251725,50.8262668405,-0.1246259145,6.0,-25.43394239,5.5200965175,9.9187504675,5.149265571357893,27.8520825414705,8
150,2.0861911925000003,-2.39531102,0.5605622525,50.934279752,0.051158437,12.0,-21.7960887575,13.942010922500002,4.8669791925,3.225513697556699,26.327488299269174,7
152,6.142419005000001,-3.6560164925,2.65781833,50.822260377,-0.139345328,16.0,-33.028317470000005,18.259209485,0.883561165,7.6262550509212055,37.74982339360699,0
153,0.1850829675,2.01981212,1.2456623475000002,51.073522422,0.707836927,12.0,13.56751652,-0.0745552275,-23.4779742125,2.3802460773913086,27.116385012114637,9
154,-7.9948049925,2.43138993,0.0918187825,50.85298887,0.569548017,6.0,6.9648446150000005,28.7356622175,65.5230618025,8.356853148681513,71.8854573023194,1
155,5.053724225,1.6693160525,1.410385675,50.83415777,-0.150797346,8.0,-18.2557286925,-1.171818985,5.485434907499999,5.5059905900510975,19.098030944372084,9
162,-0.42396864,1.7224517025,4.835844915,51.148228363,0.871098949,48.0,3.136770155,-5.380664855,-19.6624243625,5.15092082224916,20.625271224838826,0
165,-2.7704526225,-3.3119952525,0.1812823975,50.8706582585,0.0119606784999999,5.0,8.37739052,13.189582432499998,-13.8844062875,4.321757003088329,20.90269108571114,0
168,0.598242225,-3.986190805,0.7143141075,50.818886666,-0.131050396,6.0,-14.196240905,22.595374455,-22.7426516375,4.09363598012977,35.06155167842894,1
169,1.707867375,2.220333925,0.3431516424999999,50.887605741,0.049024219,4.0,5.35033266,6.9985368,-18.397738235,2.822135141846638,20.398096702319993,9
